
 fun P-01 | d 10000 |

 m 6000 | t 2325.6889438530197 | y 3133630.1355243144 | x [5 1 2 ... 7 5 9]
 m 6100 | t 2363.2709338540444 | y 3133287.488316648 | x [ 1  2 10 ...  6  0  5]
 m 6200 | t 2401.202388162026 | y 3133035.823917495 | x [0 8 3 ... 2 5 4]
 m 9600 | t 3849.953207329032 | y 13.831699097312717 | x [5 8 1 ... 3 0 0]
 m 10000 | t 3992.205693193013 | y 13.831699097312717 | x [5 8 1 ... 3 0 0]

 fun P-02 | d 1000000 |

 m 6800 | t 2630.0868638589745 | y 3130680.11543122 | x [10  7  2 ...  3  0  3]
 m 100 | t 45.846345134079456 | y 3153811.073026462 | x [8 5 5 ... 6 4 4]
 m 200 | t 87.09328624699265 | y 3151266.733570079 | x [10  1  6 ...  7  6  2]
 m 400 | t 166.87632141204085 | y 3150141.9474751395 | x [10  7  2 ...  6  5  9]
 m 700 | t 285.92800651001744 | y 3149024.110539869 | x [10  4 10 ...  3 10  5]
 m 7700 | t 2981.1498551060213 | y 3130515.1339750886 | x [3 8 4 ... 5 4 2]
 m 900 | t 363.5979403720703 | y 3148506.54595312 | x [10  7  4 ...  9  9  4]
 m 1100 | t 442.6320297870552 | y 3146626.565441795 | x [6 6 1 ... 3 8 7]
 m 1200 | t 485.7033231140813 | y 3146447.2635811707 | x [10  9  6 ...  8  2  4]
 m 1400 | t 563.5376470560441 | y 3146158.400363245 | x [2 0 5 ... 7 1 9]
 m 1600 | t 642.2702749450691 | y 3144005.631709767 | x [0 7 9 ... 7 0 9]
 m 8700 | t 3377.424404415069 | y 3130126.2298302823 | x [ 8  2 10 ...  7  6  0]
 m 2000 | t 805.3790959080216 | y 3143378.5917657716 | x [2 9 8 ... 6 0 1]
 m 2300 | t 921.793437703047 | y 3138347.6470825477 | x [5 2 8 ... 4 3 7]
 m 9500 | t 3692.3457193190698 | y 3129404.156128568 | x [10  2 10 ...  8  1  0]
 m 9800 | t 3813.5436732310336 | y 3128391.353176869 | x [8 3 7 ... 3 6 2]
