fun P-01 | nbb 5 |

 m 120 | t 2.2813509340630844 | y -2.37039069562842 |
 m 160 | t 2.29693466599565 | y -2.643105872783574 |
 m 400 | t 2.389591695042327 | y -3.8234824756161383 |
 m 880 | t 2.5745809889631346 | y -3.8339859711483006 |
 m 1000 | t 2.620639443048276 | y -3.8339859711483006 |

 fun P-05 | nbb 45 |

 m 45 | t 2.0269246130483225 | y -1.7757487908160257 |
 m 90 | t 2.045965331955813 | y -1.9172191696800256 |
 m 180 | t 2.0799091330263764 | y -2.6688844589145475 |
 m 270 | t 2.1136657589813694 | y -2.6805276126432487 |
 m 315 | t 2.1306749200448394 | y -2.794682879786472 |
 m 630 | t 2.24874324304983 | y -2.9091406962167508 |
 m 765 | t 2.2993543680058792 | y -3.1560729066486464 |
 m 855 | t 2.3331974380416796 | y -3.517131956192433 |
 m 1035 | t 2.400627193041146 | y -3.517131956192433 |

 fun P-05 | nbb 50 |

 m 50 | t 2.028144342941232 | y -2.0713280644869863 |
 m 150 | t 2.0669698489364237 | y -2.2047586773868364 |
 m 200 | t 2.0853790109977126 | y -3.1891156737453596 |
 m 400 | t 2.1586781319929287 | y -3.265659902844788 |
 m 500 | t 2.195385757018812 | y -3.480949285161422 |
 m 950 | t 2.3598717829445377 | y -3.5421513022207494 |
 m 1000 | t 2.378068682970479 | y -3.5421513022207494 |

 fun P-06 | nbb 5 |

